SFMU - Motif du recours aux urgences;CIM10;
CARDIO-VASCULAIRE;;
Arrêt cardiaque;I46.9;
Douleur thoracique;R07.4;
Palpitations;R00.2;
Hypertension;I10.0;
Malaise sans PC;R53.+1;
Malaise avec PC;R55;
Hypotension / collapsus;R57.9;
Oedème des membres inférieurs;R60.0;
Membre inferieur froid sans pouls/ symptômes compatible avec ischémie de membre;I74.3;
Membre inférieur chaud rouge : symptôme de maladie thrombo-embolique;I80.2;
Problème avec matériel implantable cardiologique;T82.1;
ENVIRONNEMENTAL;;
Gelure / Lésions liées au froid;T35.7;
Hypothermie;T68;
Coup de chaleur / insolation;T67.0;
GASTRO-ENTEROLOGIE;;
Douleur abdominale;R10.4;
Corps étranger voies digestives;T18.9;
Inappétence / perte d'appétit;R63.0;
Constipation;K59.0;
Diarrhée;K52.9;
Corps étranger dans le rectum;T18.5;
Nausées et/ou vomissement;R11;
Proctologie (thrombose, fissure, douleur...);K62.8;
Vomissement de sang;K92.0;
Sang dans les selles / Méléna;K92.1;
Ictère;R17;
Hoquet;R06.6;
Masse ou distension abdominale;R19.0;
GENITO-URINAIRE;;
Douleur de la fosse lombaire ou flanc;R10.3;
Hématurie;R31.8;
Ecoulement ou lésion génitale;R36;
Douleur ou oedème des OGE;N50.9;
Rétention d'urine ou anurie;R33;
Signe d'infection urinaire/ dysurie/ brûlure mictionnelle;R39.8;
INTOXICATION;;
Intoxication accidentelle et/ou iatrogène (occasionné par le traitement médical);T88.7;
Intoxication médicamenteuse volontaire;T50.9;
Intoxication non médicamenteuse volontaire;X69.9;
Etat de manque / sevrage / toxicomanie;F19.3;
Ebriété, ivresse;F10;
NEUROLOGIE;;
Altération de la conscience / coma;R40.2;
Confusion / Désorientation temporo spatiale;R41.0;
Etourdissement / vertiges;R42;
Céphalée;R51;
Convulsions;R56.8;
Anomalie de la marche / Ataxie / trouble de l'équilibre;R26.8;
Tremblement;R25.1;
Faiblesse de membre/ déficit / symptômes pouvant évoquer un AVC;I64;
Perte de sensibilité / paresthésies;R44.8;
GYNECOLOGIE;;
Problèmes menstruels;N92.6;
Corps étranger dans le vagin;T19.2;
Pertes vaginales;N89.8;
Agression sexuelle / sévices;T74.2;
Rougeur ou tension du sein;N61;
Méno-metrorragie en dehors de la grossesse;N92.1;
Douleur pelvienne;R10.2;
OBSTETRIQUE;;
Problèmes de grossesse 1er trimestre (saignement, douleur...);O20.9;
Problèmes de grossesse 2eme trimestre (saignement, douleur, perte de liquide amniotique...);O99.8;
Problèmes de grossesse 3eme trimestre (saignement, douleur, perte de liquide amniotique...);O46.9;
Accouchement imminent ou réalisé;O62.3;
Problème de post partum (allaitement, hémorragie...);Z39.1;
OPHTHALMOLOGIE;;
Corps étranger, brûlure oculaire;T15.9;
Trouble visuel / diplopie / baisse de l'acuité;H53.9;
Douleur oculaire;H57.1;
Démangeaison, oeil rouge;H57.9;
ORL;;
Otalgie;H92.0;
Corps étranger ORL;T17;
Acouphène ou trouble de l'audition;H93.1;
Otorrhée / écoulement oreille;H92.1;
Problème de dent ou de gencive;K08.9;
Douleur de gorge, difficultés à avaler, dysphagie;J02.9;
Tuméfaction ORL;R22.1;
Tumeur ORL et complications;C10.8;
Epistaxis;R04.0;
Congestion nasale / rhume des foins;J31.0;
PEAU;;
Morsure;T14.0;
Piqure;T63.9;
Brûlure;T30.0;
Prurit;L29.9;
Erythème étendu et autres éruptions;R21;
Oedème / rougeur localisé / abcès;L03.9;
Contusion, masse, ampoule, autres affections cutanées;L98.8;
Parasitose;B88.9;
Hématome non traumatique;R23.3;
Corps étranger - Peau;M79.59;
PEDIATRIE < 2 ans (Pathologie spécifique);;
Troubles alimentaires du nourrisson (< 6 mois);F98.2;
Ictère néonatal;P59.9;
Pleurs incoercibles;R68.1;
Sifflement respiratoire sans autres symptômes (bronchiolite, laryngite...);R06.2;
Convulsion hyperthermique;P90;
Diarrhée du nourrisson (< 6 mois);P78.3;
Fièvre < 3 mois;P81.0;
PSYCHIATRIE;;
Dépression / suicidaire;F32.9;
Anxiété / Crise d'angoisse / spasmophilie;F41.9;
Hallucinations;R44.3;
Insomnie / troubles du sommeil;G47.0;
Comportement violent / agitation;R45.6;
Comportement étrange / troubles du comportement social / anorexie / boulimie;R46.2;
RESPIRATOIRE;;
Dyspnée;R06.0;
Cyanose;R23.0;
Toux;R05;
Hémoptysie;R04.2;
Corps étranger voies aériennes;T17.9;
Réaction allergique;T78.4;
Asthme;J45;
RHUMATOLOGIE;;
Douleur rachidienne (cervicale, dorsale, lombaire);M54.9;
Douleur au niveau d'un membre supérieur;M79.60;
Douleur au niveau d'un membre inférieur;M79.61;
Epanchement articulaire;M25.49;
Douleur diffuse / sans précision;R52.9;
TRAUMATOLOGIE;;
Traumatisme multiple;T01.9;
Traumatisme crânien avec PC;S06.0;
Traumatisme crânien sans PC;S00.9;
Traumatisme maxillo-facial;S00.8;
Traumatisme oculaire;S05.9;
Traumatisme cervical (hors rachis);S19.9;
Traumatisme rachidien ou médullaire;S39.9;
Traumatisme thoracique;S21;
Traumatisme abdominal;S31.8;
Traumatisme du bassin;S32.8;
Traumatisme membre supérieur;T11.9;
Traumatisme membre inférieur;T13.9;
Traumatisme anal ou du rectum;S36.690;
Traumatisme OGE, priapisme;S37.8;
Dermabrasion / plaie;T00.9;
Amputation;T14.7;
GENERAL & DIVERS;;
Accident d'exposition au sang et/ou au liquides biologiques;Z20.9;
Exposition à une maladie contagieuse;Z20.2;
Fièvre;A50.9;
Hyperglycémie;R73.9;
Hypoglycémie;E16.2;
Conseil / consultation / renouvellement ordonnance;Z76.0;
Problème de suture et pansements chirurgicaux / pansements;Z48.0;
Demande d'examen complémentaire;Z01.6;
Problème de matériel médical;T85.9;
Anomalie de résultat biologique;R79;
Complication post opératoire;T88.9;
Problème social;Z60.9;
Soins palliatifs / fin de vie;Z51.5;
Examen à des fins administratives/certificat/ réquisitions;Z02.9;
Perte d'autonomie;Z74.0;
AEG/Asthénie;R53.+0;
